genome_id	st	family	carbapenemase	country	study
uH9qCLXB9HGRpSMcA5KAZK	ST6	negative		SN	PRJEB78995
gz4qmnkBjJwDq7sn2xK47Y	ST395	NDM	NDM-1	Nigeria	PRJEB27707
os9PxKsnWVQ1yaa4MF8a6c	ST25	negative		Ghana	PRJEB56918
6A7Wk1psHh9ewryZXAJyXf	ST39-1LV	negative		SN	PRJEB78995
iCV5KZtRkyPyEau49JCQkr	ST464	negative		Ghana	PRJNA473419
2H7LhawUkgSTwFeNQbsHfx	ST742-1LV	negative		Nigeria	PRJNA800729
aHqRui8jXfGrasdZ9o7RMw	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
ajk5KRQbpVw1sMvcdSbbn1	ST17	negative		Nigeria	PRJNA351846
cLrDJaBZwCxksJns9enuHQ	ST1401	negative		Senegal	PRJEB29143
9EK6nFkQxjy3n4a8BZUhs5	ST25	negative		Ghana	PRJNA473419
opgxhkceTYBhoHePQ7i3J2	ST147	NDM	NDM-1	Nigeria	PRJEB56918
3CZfqkzSWZLhnUJapfWebH	ST964	negative		GH	PRJNA1126843
k4M3rSMsx1QNStuBYozfXJ	ST48	negative		Nigeria	PRJNA351846
17cjBXCud4W8WzY9Adcadf	ST17	OXA	OXA-181	Ghana	PRJEB37523
bgSrxKwxA6HeN1jdLNgHsG	ST281	negative		Senegal	PRJEB29143
uQyJaAJRdkvckdJnxkNQWD	ST3124	negative		Senegal	PRJEB29143
8JbGkEtkonwzJzAFhjvvPP	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
dQaeWNGmkR27kysq26if8M	ST337	negative		Senegal	PRJEB29143
r9av7Pjq7KmtguHZVx827e	ST17	negative		SN	PRJEB78995
vJZE3Nvvtpj7S7mzx9aBLJ	ST5241	negative		Nigeria	PRJEB29739
1ZKLGKjWkBqdJjheeB9mFL	ST1263	negative		Nigeria	PRJNA351846
8YnVyxHA7nqtqzDfQdJ3mB	ST464	NDM	NDM-7	Nigeria	PRJEB39293
5Vzojp1ehDS15wUpA1k7aJ	ST1552	negative		Nigeria	PRJEB56918
